4 accumulation steps, 24 fragments per step, 1024 fragment legnth
e512h3d50w1024 b96f1024 drop1ch1tail5 0x0, size 149.835M
iter 396k, 484.575 sec, train err -2.86195, test err -2.89721
iter 397k, 484.45 sec, train err -2.86076, test err -2.89636
iter 398k, 484.447 sec, train err -2.86128, test err -2.89654
iter 399k, 484.507 sec, train err -2.86162, test err -2.89705
iter 400k, 484.305 sec, train err -2.86093, test err -2.89654
iter 401k, 484.172 sec, train err -2.86032, test err -2.89584
iter 402k, 484.084 sec, train err -2.86182, test err -2.89749
iter 403k, 484.22 sec, train err -2.86121, test err -2.89564
iter 404k, 484.383 sec, train err -2.86106, test err -2.89588
iter 405k, 484.329 sec, train err -2.86024, test err -2.89532
iter 406k, 484.458 sec, train err -2.8611, test err -2.89551
iter 407k, 484.532 sec, train err -2.86013, test err -2.89459
iter 408k, 484.253 sec, train err -2.86069, test err -2.89457
iter 409k, 484.296 sec, train err -2.86058, test err -2.8948
iter 410k, 484.376 sec, train err -2.86098, test err -2.89512
iter 411k, 484.215 sec, train err -2.8587, test err -2.89354
iter 412k, 484.281 sec, train err -2.85846, test err -2.89334
iter 413k, 484.154 sec, train err -2.85796, test err -2.89289
iter 414k, 484.071 sec, train err -2.85737, test err -2.8923
iter 415k, 484.312 sec, train err -2.85708, test err -2.89215
iter 416k, 484.103 sec, train err -2.85672, test err -2.89221
iter 417k, 483.903 sec, train err -2.85652, test err -2.89185
iter 418k, 484.687 sec, train err -2.85438, test err -2.89067
iter 419k, 484.819 sec, train err -2.8551, test err -2.89143
iter 420k, 485.117 sec, train err -2.85535, test err -2.89102
iter 421k, 484.668 sec, train err -2.85416, test err -2.88973
iter 422k, 485.285 sec, train err -2.85471, test err -2.89037
iter 423k, 484.938 sec, train err -2.85347, test err -2.88934
iter 424k, 484.844 sec, train err -2.85276, test err -2.88887
iter 425k, 484.683 sec, train err -2.85211, test err -2.88841
iter 426k, 484.367 sec, train err -2.85274, test err -2.88886
iter 427k, 484.718 sec, train err -2.85197, test err -2.88845
iter 428k, 484.576 sec, train err -2.85037, test err -2.88755
iter 429k, 484.605 sec, train err -2.85059, test err -2.8863
iter 430k, 484.609 sec, train err -2.84961, test err -2.88592
iter 431k, 484.662 sec, train err -2.84944, test err -2.88536
iter 432k, 484.476 sec, train err -2.84866, test err -2.8853
iter 433k, 484.423 sec, train err -2.84841, test err -2.88499
iter 434k, 484.503 sec, train err -2.84807, test err -2.88513
iter 435k, 484.684 sec, train err -2.84687, test err -2.88371
